,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,ID,card_num
15,F,N,Y,0,157500.0,State servant,Higher education,Separated,House / apartment,-20763,-11389,0,1,0,,1.0,0.0,1.0,F & N & Y & 0 & 157500.0 & State servant & Higher education & Separated & House / apartment & -20763 & -11389 & 0 & 1 & 0 & 1.0,3.0
16,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20560,-661,0,0,0,Sales staff,2.0,0.0,0.0,F & N & Y & 0 & 180000.0 & Commercial associate & Secondary / secondary special & Married & House / apartment & -20560 & -661 & 0 & 0 & 0 & 2.0,6.0
17,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-14083,-7049,1,0,0,Core staff,2.0,0.0,1.0,F & N & Y & 0 & 180000.0 & Working & Higher education & Married & House / apartment & -14083 & -7049 & 1 & 0 & 0 & 2.0,1.0
18,F,N,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17329,-7765,0,1,0,Core staff,2.0,0.0,1.0,F & N & Y & 0 & 225000.0 & Working & Higher education & Married & House / apartment & -17329 & -7765 & 0 & 1 & 0 & 2.0,1.0
19,F,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16631,-1724,0,0,0,Sales staff,2.0,0.0,1.0,F & N & Y & 0 & 270000.0 & Working & Higher education & Married & House / apartment & -16631 & -1724 & 0 & 0 & 0 & 2.0,1.0
20,F,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24143,365243,0,1,0,,1.0,0.0,0.0,F & N & Y & 0 & 49500.0 & Pensioner & Secondary / secondary special & Widow & House / apartment & -24143 & 365243 & 0 & 1 & 0 & 1.0,1.0
21,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24691,365243,0,0,1,,2.0,0.0,0.0,F & N & Y & 0 & 85500.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -24691 & 365243 & 0 & 0 & 1 & 2.0,1.0
22,F,N,Y,0,900000.0,Working,Higher education,Married,House / apartment,-18634,-1169,0,1,0,,2.0,0.0,1.0,F & N & Y & 0 & 900000.0 & Working & Higher education & Married & House / apartment & -18634 & -1169 & 0 & 1 & 0 & 2.0,1.0
23,F,N,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-14110,-4979,0,1,0,Laborers,3.0,0.0,1.0,F & N & Y & 1 & 157500.0 & Commercial associate & Higher education & Married & House / apartment & -14110 & -4979 & 0 & 1 & 0 & 3.0,2.0
24,F,N,Y,1,67500.0,Working,Higher education,Married,House / apartment,-13212,-888,0,0,0,Sales staff,3.0,0.0,0.0,F & N & Y & 1 & 67500.0 & Working & Higher education & Married & House / apartment & -13212 & -888 & 0 & 0 & 0 & 3.0,2.0
25,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862,-1868,1,0,0,Sales staff,4.0,0.0,1.0,F & N & Y & 2 & 135000.0 & Commercial associate & Lower secondary & Civil marriage & With parents & -9862 & -1868 & 1 & 0 & 0 & 4.0,1.0
26,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,0,Cooking staff,4.0,0.0,1.0,F & N & Y & 2 & 144000.0 & Working & Secondary / secondary special & Married & House / apartment & -12393 & -1854 & 1 & 1 & 0 & 4.0,3.0
27,F,Y,N,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-18806,-3654,0,1,0,Sales staff,1.0,0.0,0.0,F & Y & N & 0 & 270000.0 & Working & Secondary / secondary special & Separated & House / apartment & -18806 & -3654 & 0 & 1 & 0 & 1.0,3.0
28,F,Y,Y,0,157500.0,Working,Higher education,Civil marriage,House / apartment,-20806,-2338,0,0,0,Managers,2.0,0.0,0.0,F & Y & Y & 0 & 157500.0 & Working & Higher education & Civil marriage & House / apartment & -20806 & -2338 & 0 & 0 & 0 & 2.0,1.0
29,F,Y,Y,0,180000.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-20871,365243,0,0,0,,1.0,0.0,1.0,F & Y & Y & 0 & 180000.0 & Pensioner & Secondary / secondary special & Widow & Municipal apartment & -20871 & 365243 & 0 & 0 & 0 & 1.0,2.0
30,F,Y,Y,0,76500.0,Working,Higher education,Married,House / apartment,-17743,-4205,0,0,0,,2.0,0.0,1.0,F & Y & Y & 0 & 76500.0 & Working & Higher education & Married & House / apartment & -17743 & -4205 & 0 & 0 & 0 & 2.0,3.0
31,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-19084,-128,1,0,0,Laborers,2.0,0.0,1.0,F & Y & Y & 0 & 90000.0 & Working & Secondary / secondary special & Married & House / apartment & -19084 & -128 & 1 & 0 & 0 & 2.0,3.0
32,F,Y,Y,1,112500.0,Working,Higher education,Married,House / apartment,-9032,-420,0,0,0,Managers,3.0,0.0,1.0,F & Y & Y & 1 & 112500.0 & Working & Higher education & Married & House / apartment & -9032 & -420 & 0 & 0 & 0 & 3.0,1.0
33,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17069,-200,1,0,0,Sales staff,3.0,0.0,1.0,F & Y & Y & 1 & 90000.0 & Working & Secondary / secondary special & Civil marriage & House / apartment & -17069 & -200 & 1 & 0 & 0 & 3.0,1.0
34,M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18158,-1143,0,0,0,Laborers,1.0,0.0,0.0,M & N & N & 0 & 180000.0 & Working & Secondary / secondary special & Single / not married & House / apartment & -18158 & -1143 & 0 & 0 & 0 & 1.0,1.0
35,M,N,N,0,315000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-11981,-703,1,0,0,Drivers,1.0,0.0,1.0,M & N & N & 0 & 315000.0 & Working & Secondary / secondary special & Single / not married & Rented apartment & -11981 & -703 & 1 & 0 & 0 & 1.0,1.0
36,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-20216,-1038,0,0,0,Laborers,2.0,0.0,1.0,M & N & Y & 0 & 112500.0 & Working & Secondary / secondary special & Married & House / apartment & -20216 & -1038 & 0 & 0 & 0 & 2.0,1.0
37,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-7723,-366,0,0,1,Sales staff,1.0,0.0,1.0,M & N & Y & 0 & 135000.0 & Commercial associate & Secondary / secondary special & Single / not married & Rented apartment & -7723 & -366 & 0 & 0 & 1 & 1.0,2.0
38,M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,-10282,-108,0,0,0,Core staff,1.0,0.0,0.0,M & N & Y & 0 & 180000.0 & Commercial associate & Higher education & Separated & House / apartment & -10282 & -108 & 0 & 0 & 0 & 1.0,2.0
39,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13163,-1405,0,0,0,Laborers,2.0,0.0,0.0,M & N & Y & 0 & 202500.0 & Working & Secondary / secondary special & Married & House / apartment & -13163 & -1405 & 0 & 0 & 0 & 2.0,2.0
40,M,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9926,-461,0,0,0,Drivers,1.0,0.0,0.0,M & N & Y & 0 & 225000.0 & Working & Secondary / secondary special & Single / not married & House / apartment & -9926 & -461 & 0 & 0 & 0 & 1.0,2.0
41,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13648,-5840,0,0,0,Laborers,2.0,0.0,0.0,M & N & Y & 0 & 90000.0 & Working & Secondary / secondary special & Married & House / apartment & -13648 & -5840 & 0 & 0 & 0 & 2.0,2.0
42,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-8824,-739,0,0,1,Laborers,2.0,0.0,1.0,M & N & Y & 0 & 90000.0 & Working & Secondary / secondary special & Married & House / apartment & -8824 & -739 & 0 & 0 & 1 & 2.0,1.0
43,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18394,-5155,0,0,0,Laborers,3.0,0.0,0.0,M & N & Y & 1 & 112500.0 & Working & Secondary / secondary special & Married & House / apartment & -18394 & -5155 & 0 & 0 & 0 & 3.0,4.0
44,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13706,-932,0,1,0,Laborers,3.0,0.0,1.0,M & N & Y & 1 & 180000.0 & Working & Secondary / secondary special & Married & House / apartment & -13706 & -932 & 0 & 1 & 0 & 3.0,4.0
45,M,N,Y,2,148500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-15868,-4423,1,1,0,Laborers,4.0,0.0,0.0,M & N & Y & 2 & 148500.0 & Commercial associate & Secondary / secondary special & Married & Municipal apartment & -15868 & -4423 & 1 & 1 & 0 & 4.0,2.0
46,M,Y,N,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-21013,-2196,1,0,0,,2.0,0.0,1.0,M & Y & N & 0 & 112500.0 & Commercial associate & Higher education & Married & House / apartment & -21013 & -2196 & 1 & 0 & 0 & 2.0,3.0
47,M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,-13643,-2956,0,0,0,Managers,2.0,0.0,0.0,M & Y & N & 0 & 198000.0 & Commercial associate & Higher education & Married & House / apartment & -13643 & -2956 & 0 & 0 & 0 & 2.0,2.0
48,M,Y,N,2,234000.0,State servant,Secondary / secondary special,Married,House / apartment,-10293,-3243,0,1,0,Laborers,4.0,0.0,1.0,M & Y & N & 2 & 234000.0 & State servant & Secondary / secondary special & Married & House / apartment & -10293 & -3243 & 0 & 1 & 0 & 4.0,7.0
49,M,Y,N,2,337500.0,Working,Higher education,Married,House / apartment,-11810,-1662,1,0,0,,4.0,0.0,1.0,M & Y & N & 2 & 337500.0 & Working & Higher education & Married & House / apartment & -11810 & -1662 & 1 & 0 & 0 & 4.0,2.0
50,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14856,-1721,0,0,0,Laborers,2.0,0.0,1.0,M & Y & Y & 0 & 135000.0 & Commercial associate & Secondary / secondary special & Married & House / apartment & -14856 & -1721 & 0 & 0 & 0 & 2.0,1.0
51,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,0,0,1,Sales staff,2.0,0.0,0.0,M & Y & Y & 0 & 135000.0 & Working & Secondary / secondary special & Married & House / apartment & -10314 & -962 & 0 & 0 & 1 & 2.0,2.0
52,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,With parents,-8893,-1615,1,0,0,Drivers,2.0,0.0,1.0,M & Y & Y & 0 & 157500.0 & Working & Secondary / secondary special & Married & With parents & -8893 & -1615 & 1 & 0 & 0 & 2.0,4.0
53,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8351,-124,0,0,0,Drivers,1.0,0.0,1.0,M & Y & Y & 0 & 202500.0 & Commercial associate & Secondary / secondary special & Single / not married & With parents & -8351 & -124 & 0 & 0 & 0 & 1.0,1.0
54,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-20049,-2361,0,1,0,Drivers,2.0,0.0,1.0,M & Y & Y & 0 & 270000.0 & Working & Secondary / secondary special & Married & House / apartment & -20049 & -2361 & 0 & 1 & 0 & 2.0,1.0
55,M,Y,Y,0,450000.0,Pensioner,Higher education,Married,House / apartment,-23451,365243,0,0,0,,2.0,0.0,1.0,M & Y & Y & 0 & 450000.0 & Pensioner & Higher education & Married & House / apartment & -23451 & 365243 & 0 & 0 & 0 & 2.0,1.0
56,M,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22129,365243,0,0,0,,2.0,0.0,1.0,M & Y & Y & 0 & 90000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -22129 & 365243 & 0 & 0 & 0 & 2.0,2.0
57,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-10119,-1244,1,0,0,Drivers,3.0,0.0,1.0,M & Y & Y & 1 & 270000.0 & Working & Secondary / secondary special & Married & House / apartment & -10119 & -1244 & 1 & 0 & 0 & 3.0,1.0
58,M,Y,Y,2,148500.0,Working,Higher education,Married,House / apartment,-16416,-1498,1,1,0,Drivers,4.0,0.0,1.0,M & Y & Y & 2 & 148500.0 & Working & Higher education & Married & House / apartment & -16416 & -1498 & 1 & 1 & 0 & 4.0,3.0
59,M,Y,Y,2,180000.0,State servant,Secondary / secondary special,Married,With parents,-16721,-1965,0,1,0,Laborers,4.0,0.0,0.0,M & Y & Y & 2 & 180000.0 & State servant & Secondary / secondary special & Married & With parents & -16721 & -1965 & 0 & 1 & 0 & 4.0,1.0
60,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13241,-2200,1,1,0,Sales staff,2.0,-1.0,1.0,F & N & N & 0 & 112500.0 & Commercial associate & Secondary / secondary special & Married & House / apartment & -13241 & -2200 & 1 & 1 & 0 & 2.0,1.0
61,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24064,-2177,0,0,0,,2.0,-1.0,1.0,F & N & N & 0 & 112500.0 & Commercial associate & Secondary / secondary special & Married & House / apartment & -24064 & -2177 & 0 & 0 & 0 & 2.0,1.0
62,F,N,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10303,-1527,1,1,0,Laborers,2.0,-1.0,1.0,F & N & N & 0 & 112500.0 & Working & Secondary / secondary special & Civil marriage & House / apartment & -10303 & -1527 & 1 & 1 & 0 & 2.0,1.0
63,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10344,-2533,0,0,0,Laborers,2.0,-1.0,1.0,F & N & N & 0 & 112500.0 & Working & Secondary / secondary special & Married & House / apartment & -10344 & -2533 & 0 & 0 & 0 & 2.0,1.0
64,F,N,N,0,113400.0,Pensioner,Higher education,Married,House / apartment,-20219,365243,0,0,0,,2.0,-1.0,1.0,F & N & N & 0 & 113400.0 & Pensioner & Higher education & Married & House / apartment & -20219 & 365243 & 0 & 0 & 0 & 2.0,4.0
65,F,N,N,0,117000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23283,365243,0,1,0,,2.0,-1.0,1.0,F & N & N & 0 & 117000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -23283 & 365243 & 0 & 1 & 0 & 2.0,6.0
66,F,N,N,0,130500.0,Working,Secondary / secondary special,Married,With parents,-8419,-1323,0,0,0,Core staff,2.0,-1.0,1.0,F & N & N & 0 & 130500.0 & Working & Secondary / secondary special & Married & With parents & -8419 & -1323 & 0 & 0 & 0 & 2.0,1.0
67,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20608,365243,0,0,0,,2.0,-1.0,1.0,F & N & N & 0 & 135000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -20608 & 365243 & 0 & 0 & 0 & 2.0,5.0
68,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22333,365243,0,0,0,,2.0,-1.0,1.0,F & N & N & 0 & 135000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -22333 & 365243 & 0 & 0 & 0 & 2.0,1.0
69,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-15570,-1619,0,1,0,Sales staff,2.0,-1.0,1.0,F & N & N & 0 & 135000.0 & Working & Higher education & Married & House / apartment & -15570 & -1619 & 0 & 1 & 0 & 2.0,2.0
70,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21041,365243,0,1,0,,2.0,-1.0,1.0,F & N & N & 0 & 144000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -21041 & 365243 & 0 & 1 & 0 & 2.0,2.0
71,F,N,N,0,157500.0,Working,Higher education,Single / not married,House / apartment,-12870,-515,0,0,1,Sales staff,1.0,-1.0,1.0,F & N & N & 0 & 157500.0 & Working & Higher education & Single / not married & House / apartment & -12870 & -515 & 0 & 0 & 1 & 1.0,2.0
72,F,N,N,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14804,-2754,0,0,0,Laborers,1.0,-1.0,1.0,F & N & N & 0 & 157500.0 & Working & Secondary / secondary special & Single / not married & House / apartment & -14804 & -2754 & 0 & 0 & 0 & 1.0,4.0
73,F,N,N,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-12843,-431,0,1,0,Sales staff,2.0,-1.0,1.0,F & N & N & 0 & 180000.0 & Commercial associate & Higher education & Married & House / apartment & -12843 & -431 & 0 & 1 & 0 & 2.0,1.0
74,F,N,N,0,180000.0,Working,Higher education,Widow,House / apartment,-19190,-1159,1,1,0,Sales staff,1.0,-1.0,1.0,F & N & N & 0 & 180000.0 & Working & Higher education & Widow & House / apartment & -19190 & -1159 & 1 & 1 & 0 & 1.0,1.0
75,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-20075,-7013,1,1,0,Sales staff,2.0,-1.0,1.0,F & N & N & 0 & 67500.0 & Working & Secondary / secondary special & Married & House / apartment & -20075 & -7013 & 1 & 1 & 0 & 2.0,3.0
76,F,N,N,0,76500.0,State servant,Secondary / secondary special,Single / not married,With parents,-8520,-550,1,0,0,Medicine staff,1.0,-1.0,1.0,F & N & N & 0 & 76500.0 & State servant & Secondary / secondary special & Single / not married & With parents & -8520 & -550 & 1 & 0 & 0 & 1.0,2.0
77,F,N,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19579,-309,0,0,0,Laborers,2.0,-1.0,1.0,F & N & N & 0 & 81000.0 & Working & Secondary / secondary special & Married & House / apartment & -19579 & -309 & 0 & 0 & 0 & 2.0,1.0
78,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21517,365243,0,0,0,,2.0,-1.0,1.0,F & N & N & 0 & 90000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -21517 & 365243 & 0 & 0 & 0 & 2.0,2.0
79,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22248,365243,0,1,0,,2.0,-1.0,1.0,F & N & N & 0 & 90000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -22248 & 365243 & 0 & 1 & 0 & 2.0,2.0
80,F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15382,-288,0,0,0,Laborers,1.0,-1.0,0.0,F & N & N & 0 & 90000.0 & Working & Secondary / secondary special & Single / not married & House / apartment & -15382 & -288 & 0 & 0 & 0 & 1.0,1.0
81,F,N,N,1,144000.0,Commercial associate,Higher education,Married,House / apartment,-12753,-1315,1,1,0,,3.0,-1.0,0.0,F & N & N & 1 & 144000.0 & Commercial associate & Higher education & Married & House / apartment & -12753 & -1315 & 1 & 1 & 0 & 3.0,12.0
82,F,N,N,1,211500.0,Working,Secondary / secondary special,Married,House / apartment,-17519,-1132,0,0,0,Core staff,3.0,-1.0,0.0,F & N & N & 1 & 211500.0 & Working & Secondary / secondary special & Married & House / apartment & -17519 & -1132 & 0 & 0 & 0 & 3.0,3.0
83,F,N,N,1,72000.0,State servant,Secondary / secondary special,Married,House / apartment,-14814,-3342,1,1,0,Managers,3.0,-1.0,1.0,F & N & N & 1 & 72000.0 & State servant & Secondary / secondary special & Married & House / apartment & -14814 & -3342 & 1 & 1 & 0 & 3.0,1.0
84,F,N,N,1,76500.0,Working,Higher education,Married,House / apartment,-15915,-785,1,1,0,Sales staff,3.0,-1.0,1.0,F & N & N & 1 & 76500.0 & Working & Higher education & Married & House / apartment & -15915 & -785 & 1 & 1 & 0 & 3.0,8.0
85,F,N,N,3,135000.0,Commercial associate,Higher education,Married,House / apartment,-13389,-150,0,0,0,Sales staff,5.0,-1.0,1.0,F & N & N & 3 & 135000.0 & Commercial associate & Higher education & Married & House / apartment & -13389 & -150 & 0 & 0 & 0 & 5.0,1.0
86,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-20292,-1691,0,0,0,Laborers,2.0,-1.0,0.0,F & N & Y & 0 & 103500.0 & Working & Secondary / secondary special & Married & House / apartment & -20292 & -1691 & 0 & 0 & 0 & 2.0,6.0
87,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13099,-185,1,0,0,Cleaning staff,2.0,-1.0,0.0,F & N & Y & 0 & 112500.0 & Commercial associate & Secondary / secondary special & Married & House / apartment & -13099 & -185 & 1 & 0 & 0 & 2.0,1.0
88,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-12114,-4004,0,0,0,Accountants,2.0,-1.0,1.0,F & N & Y & 0 & 112500.0 & Working & Higher education & Married & House / apartment & -12114 & -4004 & 0 & 0 & 0 & 2.0,7.0
89,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,With parents,-10022,-608,1,0,1,,2.0,-1.0,0.0,F & N & Y & 0 & 112500.0 & Working & Secondary / secondary special & Married & With parents & -10022 & -608 & 1 & 0 & 1 & 2.0,3.0
90,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-12534,-181,0,0,0,,2.0,-1.0,1.0,F & N & Y & 0 & 126000.0 & Working & Secondary / secondary special & Married & House / apartment & -12534 & -181 & 0 & 0 & 0 & 2.0,1.0
91,F,N,Y,0,130500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-22224,365243,0,0,0,,2.0,-1.0,0.0,F & N & Y & 0 & 130500.0 & Pensioner & Secondary / secondary special & Married & Municipal apartment & -22224 & 365243 & 0 & 0 & 0 & 2.0,1.0
92,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21374,365243,0,0,0,,2.0,-1.0,1.0,F & N & Y & 0 & 135000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -21374 & 365243 & 0 & 0 & 0 & 2.0,12.0
93,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20323,-1749,0,0,0,Laborers,2.0,-1.0,0.0,F & N & Y & 0 & 135000.0 & Working & Secondary / secondary special & Married & House / apartment & -20323 & -1749 & 0 & 0 & 0 & 2.0,2.0
94,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13530,-95,0,0,0,Sales staff,1.0,-1.0,1.0,F & N & Y & 0 & 135000.0 & Working & Secondary / secondary special & Single / not married & House / apartment & -13530 & -95 & 0 & 0 & 0 & 1.0,4.0
95,F,N,Y,0,144000.0,State servant,Higher education,Single / not married,House / apartment,-12795,-767,0,0,0,,1.0,-1.0,1.0,F & N & Y & 0 & 144000.0 & State servant & Higher education & Single / not married & House / apartment & -12795 & -767 & 0 & 0 & 0 & 1.0,1.0
96,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-11332,-566,0,0,0,Sales staff,2.0,-1.0,1.0,F & N & Y & 0 & 157500.0 & Commercial associate & Higher education & Married & House / apartment & -11332 & -566 & 0 & 0 & 0 & 2.0,2.0
97,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20850,365243,0,0,0,,2.0,-1.0,1.0,F & N & Y & 0 & 157500.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -20850 & 365243 & 0 & 0 & 0 & 2.0,3.0
98,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22229,365243,0,0,0,,2.0,-1.0,1.0,F & N & Y & 0 & 157500.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -22229 & 365243 & 0 & 0 & 0 & 2.0,2.0
