ID,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,year_total,work_total,Nth_card,ability
13,F,N,N,0,108000,Commercial associate,Secondary / secondary special,Married,House / apartment,15803,-9029,0,1,0,High skill tech staff,2,4,2,43.25,24.67,6,15.94331267
14,F,N,N,0,108000,Commercial associate,Secondary / secondary special,Married,House / apartment,18827,-1131,0,1,0,Laborers,2,11,2,51.58,3.08,1,6.103074141
15,F,N,N,0,108000,Pensioner,Secondary / secondary special,Married,House / apartment,19605,0,0,0,0,retired,2,11,2,53.67,0,1,5.508798776
16,F,N,N,0,108000,Pensioner,Secondary / secondary special,Widow,House / apartment,22182,0,0,0,0,retired,1,17,2,60.75,0,6,4.868812551
17,F,N,N,0,108000,State servant,Secondary / secondary special,Married,House / apartment,18235,-10629,1,0,0,Medicine staff,2,6,2,49.92,29.08,1,14.19931633
18,F,N,N,0,108000,State servant,Secondary / secondary special,Married,Municipal apartment,8862,-1625,1,0,0,Medicine staff,2,3,1,24.25,4.42,3,14.92331076
19,F,N,N,0,108000,Working,Secondary / secondary special,Separated,House / apartment,20002,-187,1,1,1,Laborers,1,34,2,54.75,0.5,2,5.450416351
20,F,N,N,0,108000,Working,Secondary / secondary special,Single / not married,House / apartment,20330,-8601,1,1,0,Laborers,1,43,2,55.67,23.5,1,9.207946116
21,F,N,N,0,112500,Commercial associate,Higher education,Married,With parents,19721,-1539,0,0,0,Accountants,2,1,1,54,4.17,5,6.187438126
22,F,N,N,0,112500,Commercial associate,Higher education,Single / not married,With parents,9052,-227,0,0,0,Laborers,1,4,1,24.75,0.58,3,12.74787535
23,F,N,N,0,112500,Commercial associate,Incomplete higher,Married,House / apartment,10177,-2339,0,1,0,no_data,2,15,2,27.83,6.33,14,14.35315131
24,F,N,N,0,112500,Commercial associate,Lower secondary,Married,Municipal apartment,19020,-231,0,0,0,Sales staff,2,5,2,52.08,0.58,4,5.987545905
25,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,12391,-3596,1,0,0,Medicine staff,2,27,2,33.92,9.83,1,12.79135873
26,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,13241,-2200,1,1,0,Sales staff,2,1,1,36.25,6,1,10.18929445
27,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,14414,-1159,0,0,0,Accountants,2,52,2,39.42,3.17,1,8.487363259
28,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,15002,-1466,1,1,0,Laborers,2,33,1,41.08,4,3,8.311170213
29,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,15536,-816,1,1,0,Accountants,2,25,2,42.5,2.17,1,7.642663043
30,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,17892,-470,0,1,0,Sales staff,2,9,2,49,1.25,4,6.457352772
31,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,18061,-869,0,0,0,no_data,2,16,2,49.42,2.33,2,6.543741275
32,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,19399,-5782,0,1,0,no_data,2,7,0,53.08,15.83,4,8.261731659
33,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,19601,-796,0,0,0,High skill tech staff,2,17,2,53.67,2.17,4,5.982451476
34,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,20285,-1734,1,1,0,High skill tech staff,2,28,2,55.58,4.75,4,6.064363107
35,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,21188,-5818,0,0,0,no_data,2,7,1,58,15.92,4,7.319453481
36,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,24064,-2177,0,0,0,no_data,2,1,1,65.92,5.92,1,5.140037465
37,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,11453,-277,0,0,0,Medicine staff,2,0,1,31.33,0.75,1,10.06621331
38,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,16978,-821,0,0,0,no_data,2,8,1,46.5,2.25,6,6.962926286
39,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,16417,-1615,0,1,0,Laborers,1,25,2,44.92,4.42,1,7.600324281
40,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,15686,-223,0,0,1,Core staff,1,41,2,42.92,0.58,1,7.275431676
41,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19399,-5782,0,1,0,no_data,2,38,2,53.08,15.83,1,8.261731659
42,F,N,N,0,112500,Pensioner,Higher education,Single / not married,House / apartment,19690,0,0,0,0,retired,1,3,1,53.92,0,3,5.713560183
43,F,N,N,0,112500,Pensioner,Higher education,Single / not married,House / apartment,22254,0,0,1,0,retired,1,13,0,60.92,0,2,5.055270963
44,F,N,N,0,112500,Pensioner,Higher education,Widow,House / apartment,23575,0,0,0,1,retired,1,33,2,64.58,0,1,4.772004242
45,F,N,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,22921,0,0,0,0,retired,2,9,2,62.75,0,3,4.90816282
46,F,N,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,23272,0,0,1,0,retired,2,4,1,63.75,0,6,4.834135442
47,F,N,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,23308,0,0,0,0,retired,2,16,2,63.83,0,2,4.826668955
48,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,19125,0,0,0,0,retired,2,28,2,52.33,0,2,5.882352941
49,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,20908,0,0,0,0,retired,2,21,2,57.25,0,1,5.380715516
50,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,21316,0,0,0,0,retired,2,4,1,58.33,0,5,5.277725652
51,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,22365,0,0,0,0,retired,2,9,2,61.25,0,4,5.030181087
52,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,23588,0,0,0,0,retired,2,7,2,64.58,0,3,4.769374258
53,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,23598,0,0,0,0,retired,2,8,2,64.58,0,1,4.767353166
54,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,23864,0,0,0,0,retired,2,3,1,65.33,0,6,4.714213879
55,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,24001,0,0,0,0,retired,2,18,0,65.75,0,3,4.687304696
56,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,21363,0,0,0,0,retired,2,24,2,58.5,0,5,5.26611431
57,F,N,N,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,20605,0,0,0,0,retired,1,5,1,56.42,0,3,5.459839845
58,F,N,N,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,20606,0,0,0,0,retired,1,51,2,56.42,0,1,5.459574881
59,F,N,N,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,21985,0,0,0,0,retired,1,34,2,60.17,0,1,5.117125313
60,F,N,N,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,23419,0,0,0,0,retired,1,15,2,64.08,0,4,4.803791793
61,F,N,N,0,112500,Pensioner,Secondary / secondary special,Separated,Municipal apartment,21629,0,0,0,0,retired,1,12,2,59.25,0,6,5.201350039
62,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,21135,0,0,0,0,retired,1,3,1,57.92,0,8,5.32292406
63,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22120,0,0,0,0,retired,1,13,1,60.58,0,5,5.085895118
64,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,21363,0,0,0,0,retired,2,48,2,58.5,0,1,5.26611431
65,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,23532,0,0,1,0,retired,1,7,1,64.42,0,2,4.78072412
66,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,20027,0,0,0,0,retired,1,26,0,54.83,0,3,5.617416488
67,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,20465,0,0,0,0,retired,1,6,1,56,0,1,5.497190325
68,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,22061,0,0,0,0,retired,1,12,2,60.42,0,4,5.09949685
69,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,22824,0,0,1,0,retired,1,8,2,62.5,0,2,4.929022082
70,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,24246,0,0,0,0,retired,1,41,2,66.42,0,1,4.639940609
71,F,N,N,0,112500,State servant,Higher education,Married,House / apartment,13574,-188,0,1,0,Core staff,2,28,2,37.17,0.5,1,8.404303003
72,F,N,N,0,112500,State servant,Higher education,Single / not married,House / apartment,10557,-2410,0,0,0,Core staff,1,38,2,28.92,6.58,1,13.80876396
73,F,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,14216,-6649,1,1,0,no_data,2,21,2,38.92,18.17,2,14.86718647
74,F,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,16242,-1540,0,0,0,Core staff,2,14,2,44.5,4.17,1,7.652020133
75,F,N,N,0,112500,State servant,Secondary / secondary special,Married,With parents,17164,-9363,0,0,0,Medicine staff,2,16,2,47,25.58,3,14.42122805
76,F,N,N,0,112500,State servant,Secondary / secondary special,Separated,House / apartment,17567,-1374,0,1,0,Cleaning staff,1,13,2,48.08,3.75,1,6.947446427
77,F,N,N,0,112500,State servant,Secondary / secondary special,Single / not married,House / apartment,19087,-5828,1,1,0,Security staff,1,19,2,52.25,15.92,2,8.484802775
78,F,N,N,0,112500,State servant,Secondary / secondary special,Single / not married,With parents,10678,-1526,0,0,0,Security staff,1,21,2,29.25,4.17,2,12.2923951
79,F,N,N,0,112500,State servant,Secondary / secondary special,Widow,House / apartment,19295,-5246,1,0,0,no_data,1,23,2,52.83,14.33,3,8.00768738
80,F,N,N,0,112500,Working,Higher education,Married,House / apartment,13066,-400,1,0,0,Core staff,2,3,1,35.75,1.08,1,8.882046423
81,F,N,N,0,112500,Working,Higher education,Married,House / apartment,13876,-2016,1,1,0,no_data,2,23,2,38,5.5,1,9.485666105
82,F,N,N,0,112500,Working,Higher education,Married,With parents,10650,-3702,1,1,0,Core staff,2,60,2,29.17,10.08,1,16.19170984
83,F,N,N,0,112500,Working,Higher education,Separated,House / apartment,17168,-2446,1,0,0,Sales staff,1,38,2,47,6.67,2,7.641624779
84,F,N,N,0,112500,Working,Higher education,Single / not married,Co-op apartment,12788,-531,1,1,0,Core staff,1,21,2,35,1.42,2,9.178428653
85,F,N,N,0,112500,Working,Higher education,Single / not married,With parents,11061,-157,1,1,0,High skill tech staff,1,28,2,30.25,0.42,2,10.31731475
86,F,N,N,0,112500,Working,Incomplete higher,Married,With parents,10157,-704,0,0,0,Sales staff,2,9,2,27.83,1.92,4,11.90098381
87,F,N,N,0,112500,Working,Incomplete higher,Single / not married,With parents,11413,-250,1,1,0,Core staff,1,12,0,31.25,0.67,1,10.07793604
88,F,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,10303,-1527,1,1,0,Laborers,2,1,1,28.17,4.17,1,12.81905196
89,F,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,15731,-4488,1,0,0,Accountants,2,10,1,43.08,12.25,1,10.0062261
90,F,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,18551,-5150,1,1,0,Laborers,2,50,2,50.83,14.08,1,8.394895903
91,F,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,Municipal apartment,14174,-1405,1,0,0,Core staff,2,3,1,38.83,3.83,4,8.810400188
92,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,10344,-2533,0,0,0,Laborers,2,1,1,28.33,6.92,1,14.40276533
93,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,10653,-3007,0,1,0,Core staff,2,5,1,29.17,8.17,3,14.71357573
94,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,11409,-2439,1,0,0,Low-skill Laborers,2,14,2,31.25,6.67,1,12.54180602
95,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,11493,-1284,0,1,0,no_data,2,4,2,31.42,3.5,2,11.01968851
96,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,13387,-4341,0,1,0,no_data,2,25,2,36.67,11.83,1,12.43643599
97,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,13605,-1329,0,0,0,Core staff,2,14,1,37.25,3.58,1,9.164222874
98,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,14133,-1214,0,0,0,Medicine staff,2,18,2,38.67,3.25,1,8.708104342
99,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,14225,-5179,0,0,0,Medicine staff,2,57,2,38.92,14.17,1,12.43643599
100,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,14667,-1048,1,1,0,Accountants,2,12,1,40.17,2.83,8,8.260518393
101,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,15759,-374,1,0,0,Sales staff,2,24,0,43.17,1,5,7.312317192
102,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,16120,-5888,0,1,0,Laborers,2,7,2,44.17,16.08,1,10.9949179
103,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,16860,-711,0,1,0,Medicine staff,2,21,1,46.17,1.92,1,6.966375627
104,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,18805,-10688,0,1,0,no_data,2,44,2,51.5,29.25,1,13.85980042
105,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,19143,-5498,1,1,0,Core staff,2,45,2,52.42,15,1,8.244778307
106,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,19219,-2835,0,0,0,no_data,2,14,2,52.58,7.75,4,6.866455078
107,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,20109,-857,1,1,0,no_data,2,10,2,55.08,2.33,2,5.843548722
108,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,23155,-401,0,1,0,Cleaning staff,2,15,0,63.42,1.08,1,4.944185638
109,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,8929,-682,0,0,0,Core staff,2,7,2,24.42,1.83,1,13.64132412
110,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,9413,-2223,0,1,0,no_data,2,25,2,25.75,6.08,2,15.64673157
111,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,9865,-196,1,0,0,Laborers,2,13,2,27,0.5,1,11.63512256
112,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,9890,-2047,0,1,0,Laborers,2,17,1,27.08,5.58,2,14.34400102
113,F,N,N,0,112500,Working,Secondary / secondary special,Married,Municipal apartment,11688,-1162,1,0,0,Laborers,2,34,2,32,3.17,3,10.68782063
114,F,N,N,0,112500,Working,Secondary / secondary special,Married,Municipal apartment,21761,-6131,1,0,0,Medicine staff,2,16,2,59.58,16.75,1,7.197696737
115,F,N,N,0,112500,Working,Secondary / secondary special,Married,Office apartment,19002,-704,0,1,0,no_data,2,20,2,52,1.92,1,6.148212919
116,F,N,N,0,112500,Working,Secondary / secondary special,Married,Rented apartment,11894,-2926,1,0,0,no_data,2,21,1,32.58,8,2,12.54460303
117,F,N,N,0,112500,Working,Secondary / secondary special,Married,With parents,10071,-1648,1,1,0,no_data,2,40,2,27.58,4.5,1,13.35628636
118,F,N,N,0,112500,Working,Secondary / secondary special,Married,With parents,11631,-584,1,0,0,no_data,2,11,1,31.83,1.58,2,10.1837603
119,F,N,N,0,112500,Working,Secondary / secondary special,Married,With parents,19723,-1191,0,1,0,no_data,2,6,0,54,3.25,8,6.070580617
120,F,N,N,0,112500,Working,Secondary / secondary special,Separated,House / apartment,12369,-187,0,0,0,Core staff,1,13,2,33.83,0.5,2,9.234936792
121,F,N,N,0,112500,Working,Secondary / secondary special,Separated,House / apartment,13635,-349,1,1,0,no_data,1,20,2,37.33,0.92,2,8.467559837
122,F,N,N,0,112500,Working,Secondary / secondary special,Separated,House / apartment,19032,-7249,0,0,0,Security staff,1,16,0,52.08,19.83,1,9.547653399
123,F,N,N,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,11431,-306,0,0,0,Core staff,1,9,1,31.25,0.83,3,10.11235955
124,F,N,N,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,14074,-4720,1,1,0,Core staff,1,12,1,38.5,12.92,1,12.02694035
125,F,N,N,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,9915,-250,0,0,0,Laborers,1,51,2,27.17,0.67,1,11.63993792
126,F,N,N,0,112500,Working,Secondary / secondary special,Widow,With parents,10240,-818,1,1,0,Core staff,1,1,1,28,2.17,4,11.9401401
127,F,N,N,0,113400,Pensioner,Higher education,Married,House / apartment,20219,0,0,0,0,retired,2,1,1,55.33,0,4,5.608585983
128,F,N,N,0,117000,Commercial associate,Secondary / secondary special,Married,House / apartment,15607,-2437,0,0,0,Sales staff,2,53,2,42.75,6.67,1,8.883826879
129,F,N,N,0,117000,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,17257,-777,0,0,0,Laborers,1,10,2,47.25,2.08,3,7.099514563
130,F,N,N,0,117000,Commercial associate,Secondary / secondary special,Single / not married,With parents,10021,-530,0,0,0,Sales staff,1,13,2,27.42,1.42,2,12.32746813
131,F,N,N,0,117000,Pensioner,Secondary / secondary special,Married,House / apartment,23283,0,0,1,0,retired,2,1,1,63.75,0,6,5.025125628
132,F,N,N,0,117000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22052,0,0,1,0,retired,1,28,2,60.42,0,1,5.305641212
133,F,N,N,0,117000,Pensioner,Secondary / secondary special,Widow,House / apartment,23056,0,0,0,0,retired,1,3,1,63.17,0,3,5.074600972
134,F,N,N,0,117000,State servant,Secondary / secondary special,Single / not married,House / apartment,8852,-870,0,0,0,HR staff,1,7,2,24.25,2.33,3,14.65798046
135,F,N,N,0,117000,Working,Higher education,Married,House / apartment,19300,-2143,1,1,0,no_data,2,45,2,52.83,5.83,1,6.819374016
136,F,N,N,0,117000,Working,Secondary / secondary special,Civil marriage,House / apartment,15424,-6801,0,0,0,Managers,2,7,2,42.25,18.58,2,13.56836368
137,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,10335,-264,1,0,0,Core staff,2,48,2,28.25,0.67,1,11.61751564
138,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,17087,-7310,1,1,0,Medicine staff,2,4,0,46.75,20,7,11.966861
139,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,20687,-4438,1,1,0,Sales staff,2,9,0,56.67,12.08,1,7.200443104
140,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,20754,-2330,0,0,0,no_data,2,11,2,56.83,6.33,4,6.350412505
141,F,N,N,0,117000,Working,Secondary / secondary special,Married,Municipal apartment,13494,-1281,0,0,0,Sales staff,2,7,1,36.92,3.5,7,9.579955785
142,F,N,N,0,117000,Working,Secondary / secondary special,Separated,House / apartment,9722,-1488,0,1,0,no_data,1,11,1,26.58,4,1,14.20937576
143,F,N,N,0,117000,Working,Secondary / secondary special,Single / not married,House / apartment,16445,-340,0,0,0,Sales staff,1,18,1,45,0.92,1,7.264824589
144,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,21587,-5009,0,0,0,Laborers,2,30,0,59.08,13.67,2,7.328990228
145,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,13735,-679,1,0,0,Laborers,2,9,1,37.58,1.83,1,9.306066176
146,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,18026,-9152,0,1,0,Laborers,2,7,2,49.33,25,3,13.69168357
147,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,18828,-6195,0,0,0,no_data,2,16,2,51.58,16.92,5,9.617668012
148,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,12176,-1292,1,0,0,Cooking staff,1,39,0,33.33,3.5,1,11.1631753
149,F,N,N,0,121500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,21475,0,0,0,0,retired,2,19,2,58.83,0,1,5.65774156
150,F,N,N,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,20743,0,0,1,0,retired,2,2,1,56.83,0,1,5.857397676
151,F,N,N,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,21310,0,0,0,0,retired,2,28,2,58.33,0,1,5.701548569
152,F,N,N,0,121500,Pensioner,Secondary / secondary special,Separated,House / apartment,23491,0,0,0,0,retired,1,10,2,64.33,0,3,5.172193606
153,F,N,N,0,121500,State servant,Higher education,Married,House / apartment,22014,-5239,1,0,0,Accountants,2,10,2,60.25,14.33,7,7.242921013
154,F,N,N,0,121500,Working,Higher education,Married,House / apartment,9783,-1688,0,0,0,Core staff,2,2,1,26.75,4.58,4,15.00926498
155,F,N,N,0,121500,Working,Secondary / secondary special,Married,House / apartment,16119,-3312,0,0,0,no_data,2,21,2,44.08,9,1,9.486999297
156,F,N,N,0,121500,Working,Secondary / secondary special,Separated,House / apartment,16471,-2745,0,1,0,no_data,1,5,2,45.08,7.5,10,8.851814075
157,F,N,N,0,121500,Working,Secondary / secondary special,Single / not married,House / apartment,11962,-380,0,1,0,Sales staff,1,41,2,32.75,1,1,10.49041616
158,F,N,N,0,121500,Working,Secondary / secondary special,Single / not married,House / apartment,14287,-303,1,0,0,Laborers,1,21,2,39.08,0.83,1,8.688501144
159,F,N,N,0,122400,Working,Secondary / secondary special,Married,House / apartment,20952,-1155,1,0,1,Medicine staff,2,7,0,57.33,3.17,11,6.182754963
160,F,N,N,0,126000,Commercial associate,Secondary / secondary special,Married,House / apartment,16708,-5760,1,0,0,Managers,2,9,1,45.75,15.75,2,11.50895141
161,F,N,N,0,126000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,13658,-6383,1,1,0,Sales staff,2,7,2,37.42,17.42,4,17.31958763
162,F,N,N,0,126000,Pensioner,Higher education,Civil marriage,House / apartment,20523,0,0,0,0,retired,2,30,1,56.17,0,2,6.139453296
163,F,N,N,0,126000,Pensioner,Higher education,Single / not married,House / apartment,24914,0,0,0,0,retired,1,46,2,68.25,0,2,5.057397447
164,F,N,N,0,126000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,22451,0,0,0,0,retired,2,6,2,61.5,0,1,5.612222173
165,F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,20851,0,0,0,0,retired,2,1,1,57.08,0,8,6.042875641
166,F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,21875,0,0,0,0,retired,2,33,2,59.92,0,3,5.76
167,F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,23751,0,0,0,0,retired,2,3,1,65,0,4,5.305039788
168,F,N,N,0,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,19191,0,0,0,0,retired,1,25,2,52.58,0,2,6.565577615
169,F,N,N,0,126000,State servant,Higher education,Married,House / apartment,15234,-7756,0,0,0,Core staff,2,25,2,41.67,21.25,1,16.84942498
170,F,N,N,0,126000,State servant,Secondary / secondary special,Married,House / apartment,18166,-3666,1,0,0,Medicine staff,2,4,2,49.75,10,5,8.689655172
171,F,N,N,0,126000,State servant,Secondary / secondary special,Separated,House / apartment,20934,-2757,1,1,0,Waiters/barmen staff,1,8,2,57.33,7.5,2,6.931836937
172,F,N,N,0,126000,Working,Secondary / secondary special,Married,House / apartment,15653,-2235,1,0,0,Laborers,2,14,2,42.83,6.08,6,9.390371143
173,F,N,N,0,126000,Working,Secondary / secondary special,Married,House / apartment,20061,-2150,0,0,1,Sales staff,2,9,2,54.92,5.83,1,7.034783094
174,F,N,N,0,126000,Working,Secondary / secondary special,Married,Municipal apartment,15344,-4461,0,0,0,no_data,2,17,1,42,12.17,4,11.57768998
175,F,N,N,0,126000,Working,Secondary / secondary special,Single / not married,With parents,8209,-951,0,0,0,Sales staff,1,4,1,22.42,2.58,1,17.36015431
176,F,N,N,0,128542.5,Commercial associate,Higher education,Single / not married,Rented apartment,9351,-370,1,0,1,Sales staff,1,17,2,25.58,1,3,14.31271573
177,F,N,N,0,130500,Pensioner,Secondary / secondary special,Married,House / apartment,20593,0,0,0,0,retired,2,14,2,56.42,0,1,6.337104841
178,F,N,N,0,130500,Pensioner,Secondary / secondary special,Separated,House / apartment,24293,0,0,0,0,retired,1,3,1,66.5,0,2,5.371917836
179,F,N,N,0,130500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,21999,0,0,0,0,retired,1,23,2,60.25,0,1,5.932087822
180,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,15140,-4816,0,1,0,Cleaning staff,2,8,1,41.42,13.17,12,12.64044944
181,F,N,N,0,130500,Working,Secondary / secondary special,Married,With parents,8419,-1323,0,0,0,Core staff,2,1,1,23,3.58,1,18.39064262
182,F,N,N,0,134419.5,Commercial associate,Higher education,Single / not married,House / apartment,10339,-393,1,0,0,no_data,1,27,2,28.25,1,6,13.51493063
